iter	Logloss
327	0.3920476226
328	0.391937655
329	0.3917496994
330	0.3916110899
331	0.3913063742
332	0.3912605899
333	0.3911628276
334	0.3910951998
335	0.3909274699
336	0.3908438619
337	0.3905911747
338	0.3905424525
339	0.39039157
340	0.3902330578
341	0.3900734739
342	0.389904179
343	0.3898450785
344	0.3896491725
345	0.3894862311
346	0.3893337813
347	0.3889182194
348	0.3886433005
349	0.3885952904
350	0.3883135905
351	0.3880463184
352	0.3877937737
353	0.387688678
354	0.3875426234
355	0.3873840039
356	0.3872975694
357	0.3871059951
358	0.3868667992
359	0.3867551934
360	0.386693875
361	0.386443819
362	0.3860830597
363	0.3860234455
364	0.3859984257
365	0.3859182261
366	0.3857194091
367	0.3854842267
368	0.3851480267
369	0.3850632578
370	0.3848396674
371	0.3847877635
372	0.384751781
373	0.3845312446
374	0.384407123
375	0.3842382266
376	0.3842287638
377	0.3838874284
378	0.3838094813
379	0.3837369835
380	0.3836777597
381	0.3834950986
382	0.3833403056
383	0.3830235885
384	0.3829061536
385	0.3826418617
386	0.3825713934
387	0.3823984541
388	0.3822886228
389	0.3821977366
390	0.382066098
391	0.381867837
392	0.381807126
393	0.3815779227
394	0.3815420188
395	0.3814005062
396	0.3811302714
397	0.3810465853
398	0.3808658581
399	0.3807483731
400	0.3805665138
401	0.3805142421
402	0.3804951547
403	0.3800430626
404	0.3798608472
405	0.3797256656
406	0.3794374291
407	0.3793462544
408	0.3792609583
409	0.3792347961
410	0.3790943041
411	0.378964597
412	0.3787626602
413	0.3786087377
414	0.3785444993
415	0.3782764932
416	0.3781218864
417	0.377993059
418	0.3776966599
419	0.3774955499
420	0.3773210859
421	0.3772447405
422	0.3772029257
423	0.3771133466
424	0.3769759025
425	0.3768931491
426	0.3768237854
427	0.3767715257
428	0.3766778866
429	0.3764295946
430	0.3761702156
431	0.3758661068
432	0.375529173
433	0.3752448314
434	0.3749625121
435	0.3747597452
436	0.37456582
437	0.3744216368
438	0.374306134
439	0.3742627978
440	0.37421143
441	0.3740383656
442	0.373848941
443	0.3737692673
444	0.3734490351
445	0.3732683619
446	0.3729898685
447	0.3729177441
448	0.3726703464
449	0.372648245
450	0.3724163814
451	0.3721492547
452	0.3719969629
453	0.3719648142
454	0.3719197843
455	0.3718432156
456	0.3714295379
457	0.3713086229
458	0.3712166241
459	0.3711266703
460	0.3710392477
461	0.3709469029
462	0.3708383279
463	0.3707284132
464	0.3706547251
465	0.3705143231
466	0.3704908987
467	0.3699782318
468	0.3698620714
469	0.3697912337
470	0.3696007763
471	0.3695749951
472	0.3695353532
473	0.3693403662
474	0.369260372
475	0.3689516225
476	0.3688837655
477	0.3683870702
478	0.3682488111
479	0.3680486915
480	0.3680108323
481	0.3677686756
482	0.3674494087
483	0.3672114748
484	0.3669426058
485	0.3666148097
486	0.3664344223
487	0.3663599863
488	0.3662889199
489	0.3661629461
490	0.3661154864
491	0.3658802562
492	0.3655696602
493	0.3652734799
494	0.3650467638
495	0.3648613112
496	0.3648044898
497	0.3645208292
498	0.3644428253
499	0.3642566735
